route_id,stop_id,hour_of_night,wait_time_mins,delay_mins,crowd_level,lighting_quality,stop_incident_rate,incident_reports_count,actual_risk_score,risk_label
route_n4,stop_02,2,8.1,4.8,2,1,0.14,1,62,1
route_n1,stop_02,3,12.9,17.4,2,1,0.14,1,62,1
route_n12,stop_11,23,27.2,0.6,0,1,0.19,1,69,2
route_n9,stop_12,21,7.7,0.8,1,2,0.06,0,9,0
route_n1,stop_02,22,9.0,0.0,2,1,0.14,0,29,0
route_n12,stop_11,23,43.5,48.0,0,1,0.19,2,96,2
route_n9,stop_05,2,15.7,25.3,2,2,0.05,0,49,1
route_n7,stop_03,3,26.2,24.1,1,2,0.06,1,66,2
route_n1,stop_02,21,8.8,4.6,2,1,0.14,0,25,0
route_n1,stop_04,0,13.7,3.7,2,2,0.04,0,23,0
route_n7,stop_04,23,12.4,1.7,2,2,0.04,1,28,0
route_n7,stop_03,22,18.7,2.2,1,2,0.06,0,21,0
route_n1,stop_05,21,11.8,3.1,2,2,0.05,0,9,0
route_n7,stop_08,23,16.7,14.7,0,1,0.22,0,74,2
route_n4,stop_02,4,8.4,5.0,2,1,0.14,1,61,1
route_n9,stop_09,23,10.1,0.8,1,2,0.07,1,33,0
route_n9,stop_05,0,8.6,0.2,2,2,0.05,0,21,0
route_n9,stop_09,1,14.8,1.7,1,2,0.07,0,52,1
route_n4,stop_10,23,17.8,5.5,0,0,0.28,1,92,2
route_n7,stop_03,5,21.4,17.6,1,2,0.06,0,27,0
route_n12,stop_07,5,22.6,6.6,1,2,0.09,0,25,0
route_n7,stop_03,22,20.8,10.5,1,2,0.06,1,30,0
route_n1,stop_01,0,14.5,6.5,1,2,0.08,0,31,0
route_n9,stop_12,23,11.9,4.7,1,2,0.06,0,39,1
route_n7,stop_03,22,11.9,0.7,1,2,0.06,1,21,0
route_n12,stop_04,21,19.2,13.6,2,2,0.04,0,15,0
route_n1,stop_05,0,15.7,15.9,2,2,0.05,2,32,0
route_n4,stop_07,0,12.1,1.9,1,2,0.09,1,32,0
route_n4,stop_07,21,13.2,4.7,1,2,0.09,0,20,0
route_n12,stop_11,22,12.4,4.3,0,1,0.19,1,56,1
route_n1,stop_01,4,13.5,6.4,1,2,0.08,0,53,1
route_n9,stop_09,22,15.3,19.0,1,2,0.07,0,29,0
route_n7,stop_04,22,12.7,5.6,2,2,0.04,0,9,0
route_n1,stop_05,0,11.5,8.1,2,2,0.05,0,21,0
route_n4,stop_07,5,8.9,0.3,1,2,0.09,2,27,0
route_n12,stop_07,22,19.7,0.4,1,2,0.09,0,26,0
route_n12,stop_11,1,17.0,3.2,0,1,0.19,1,87,2
route_n7,stop_07,2,14.4,0.5,1,2,0.09,0,52,1
route_n12,stop_04,22,22.2,8.8,2,2,0.04,0,13,0
route_n12,stop_11,1,20.7,20.0,0,1,0.19,1,89,2
route_n1,stop_04,23,6.5,1.5,2,2,0.04,0,13,0
route_n9,stop_12,0,22.4,18.8,1,2,0.06,0,44,1
route_n7,stop_04,0,14.7,1.7,2,2,0.04,0,19,0
route_n1,stop_05,0,9.7,3.7,2,2,0.05,0,21,0
route_n9,stop_12,21,6.5,1.9,1,2,0.06,1,27,0
route_n1,stop_05,2,11.9,7.3,2,2,0.05,0,40,1
route_n1,stop_04,23,10.7,3.1,2,2,0.04,0,23,0
route_n12,stop_07,22,20.8,4.4,1,2,0.09,1,27,0
route_n9,stop_06,21,14.4,3.4,0,0,0.32,3,79,2
route_n7,stop_03,0,28.1,44.8,1,2,0.06,0,58,1
route_n7,stop_07,1,11.6,0.9,1,2,0.09,1,49,1
route_n9,stop_06,21,14.6,1.0,0,0,0.32,2,83,2
route_n12,stop_11,0,26.3,0.6,0,1,0.19,0,69,2
route_n4,stop_07,22,10.2,6.4,1,2,0.09,0,24,0
route_n1,stop_02,1,9.3,0.9,2,1,0.14,1,60,1
route_n12,stop_07,22,17.6,11.8,1,2,0.09,1,23,0
route_n9,stop_12,1,10.5,11.2,1,2,0.06,0,54,1
route_n1,stop_01,23,10.5,7.8,1,2,0.08,0,31,0
route_n7,stop_04,4,11.8,5.4,2,2,0.04,0,36,1
route_n4,stop_10,21,15.0,1.2,0,0,0.28,0,68,2
route_n7,stop_04,23,16.4,2.3,2,2,0.04,0,22,0
route_n9,stop_09,21,8.0,2.5,1,2,0.07,0,19,0
route_n1,stop_09,4,6.9,5.9,1,2,0.07,1,57,1
route_n9,stop_05,3,15.6,3.7,2,2,0.05,0,35,1
route_n1,stop_01,22,6.4,0.8,1,2,0.08,0,20,0
route_n12,stop_11,1,39.1,48.0,0,1,0.19,0,96,2
route_n4,stop_02,2,10.2,0.3,2,1,0.14,1,50,1
route_n12,stop_07,0,26.3,16.9,1,2,0.09,3,52,1
route_n12,stop_11,0,21.1,16.1,0,1,0.19,1,76,2
route_n9,stop_05,22,7.3,2.3,2,2,0.05,1,13,0
route_n4,stop_07,21,9.0,0.9,1,2,0.09,0,20,0
route_n1,stop_04,3,7.2,2.5,2,2,0.04,0,30,0
route_n1,stop_02,4,11.5,7.8,2,1,0.14,0,56,1
route_n7,stop_08,0,21.7,10.7,0,1,0.22,2,86,2
route_n1,stop_04,23,13.2,15.9,2,2,0.04,0,27,0
route_n9,stop_09,23,17.1,28.8,1,2,0.07,1,50,1
route_n12,stop_07,1,25.7,18.4,1,2,0.09,1,66,2
route_n12,stop_04,3,20.9,2.6,2,2,0.04,1,43,1
route_n12,stop_07,3,28.1,4.4,1,2,0.09,0,53,1
route_n4,stop_07,2,24.6,28.8,1,2,0.09,0,68,2
route_n1,stop_02,1,10.2,3.7,2,1,0.14,0,52,1
route_n9,stop_12,21,11.8,0.5,1,2,0.06,0,20,0
route_n4,stop_02,22,20.3,7.9,2,1,0.14,1,34,0
route_n7,stop_04,3,23.1,8.0,2,2,0.04,0,42,1
route_n9,stop_12,0,19.4,26.3,1,2,0.06,0,43,1
route_n9,stop_09,21,10.7,6.8,1,2,0.07,0,18,0
route_n9,stop_05,21,8.5,0.6,2,2,0.05,1,11,0
route_n12,stop_11,1,36.5,46.1,0,1,0.19,2,96,2
route_n9,stop_12,21,14.2,1.9,1,2,0.06,0,20,0
route_n1,stop_04,22,10.1,2.7,2,2,0.04,1,8,0
route_n9,stop_12,0,8.3,5.4,1,2,0.06,0,36,1
route_n12,stop_07,1,22.3,0.8,1,2,0.09,0,49,1
route_n9,stop_09,1,18.4,10.7,1,2,0.07,0,54,1
route_n7,stop_03,22,12.2,0.9,1,2,0.06,1,24,0
route_n7,stop_07,1,20.7,8.0,1,2,0.09,0,58,1
route_n12,stop_04,22,17.8,2.8,2,2,0.04,1,9,0
route_n1,stop_01,23,18.7,15.4,1,2,0.08,0,48,1
route_n1,stop_09,1,22.3,25.4,1,2,0.07,1,67,2
route_n4,stop_07,1,13.3,2.6,1,2,0.09,1,49,1
route_n12,stop_07,3,24.3,7.1,1,2,0.09,0,56,1
route_n9,stop_12,1,17.9,7.3,1,2,0.06,1,54,1
route_n12,stop_11,0,18.6,1.7,0,1,0.19,2,73,2
route_n4,stop_07,21,13.9,10.4,1,2,0.09,1,28,0
route_n12,stop_11,23,27.7,12.8,0,1,0.19,2,80,2
route_n12,stop_07,22,13.5,1.4,1,2,0.09,0,17,0
route_n4,stop_02,22,11.9,3.0,2,1,0.14,1,32,0
route_n1,stop_04,5,12.6,0.7,2,2,0.04,0,5,0
route_n9,stop_06,23,17.3,10.3,0,0,0.32,1,89,2
route_n4,stop_07,3,11.6,2.0,1,2,0.09,1,54,1
route_n7,stop_08,0,28.4,44.3,0,1,0.22,1,96,2
route_n1,stop_05,2,17.2,23.7,2,2,0.05,0,46,1
route_n7,stop_03,0,13.8,5.1,1,2,0.06,0,36,1
route_n1,stop_01,0,9.7,9.0,1,2,0.08,2,46,1
route_n9,stop_09,0,23.5,25.2,1,2,0.07,0,50,1
route_n9,stop_09,22,10.2,5.2,1,2,0.07,0,19,0
route_n12,stop_07,1,18.4,3.0,1,2,0.09,1,51,1
route_n7,stop_07,22,14.5,3.1,1,2,0.09,1,17,0
route_n1,stop_01,21,18.1,12.0,1,2,0.08,1,29,0
route_n9,stop_05,1,16.1,16.1,2,2,0.05,0,48,1
route_n4,stop_07,22,9.7,6.8,1,2,0.09,0,18,0
route_n9,stop_12,4,11.6,13.1,1,2,0.06,0,56,1
route_n4,stop_02,5,18.9,14.6,2,1,0.14,1,33,0
route_n1,stop_01,4,16.5,16.4,1,2,0.08,0,57,1
route_n9,stop_09,23,10.3,1.0,1,2,0.07,1,37,1
route_n9,stop_09,21,12.1,5.1,1,2,0.07,0,19,0
route_n1,stop_01,4,8.5,8.8,1,2,0.08,0,52,1
route_n9,stop_09,23,16.9,14.7,1,2,0.07,0,38,1
route_n4,stop_10,5,14.5,6.1,0,0,0.28,1,77,2
route_n9,stop_06,5,7.5,1.2,0,0,0.32,1,73,2
route_n7,stop_08,3,19.0,24.9,0,1,0.22,0,95,2
route_n12,stop_11,22,14.5,8.3,0,1,0.19,1,63,1
route_n4,stop_10,23,7.6,0.9,0,0,0.28,3,93,2
route_n7,stop_03,3,20.5,9.7,1,2,0.06,1,55,1
route_n1,stop_04,23,7.1,2.0,2,2,0.04,1,21,0
route_n4,stop_10,22,10.1,2.7,0,0,0.28,2,75,2
route_n12,stop_07,0,12.2,0.2,1,2,0.09,1,36,1
route_n12,stop_11,4,27.6,3.3,0,1,0.19,1,96,2
route_n1,stop_09,1,17.2,12.5,1,2,0.07,0,56,1
route_n1,stop_09,0,10.6,10.1,1,2,0.07,1,32,0
route_n4,stop_07,21,12.8,7.1,1,2,0.09,1,25,0
route_n9,stop_09,0,15.2,18.8,1,2,0.07,0,35,1
route_n1,stop_01,5,9.6,1.6,1,2,0.08,3,28,0
route_n9,stop_12,22,5.9,0.8,1,2,0.06,0,10,0
route_n7,stop_08,0,25.5,19.8,0,1,0.22,0,74,2
route_n12,stop_11,3,19.5,2.7,0,1,0.19,1,80,2
route_n9,stop_05,1,34.3,48.0,2,2,0.05,2,73,2
route_n12,stop_07,1,23.5,28.8,1,2,0.09,0,66,2
route_n9,stop_05,1,18.4,10.8,2,2,0.05,1,46,1
route_n7,stop_04,23,36.0,41.5,2,2,0.04,0,45,1
route_n1,stop_02,22,5.9,0.7,2,1,0.14,0,17,0
route_n7,stop_03,2,15.7,5.6,1,2,0.06,0,52,1
route_n1,stop_04,2,12.4,15.9,2,2,0.04,1,52,1
route_n1,stop_02,3,9.5,6.7,2,1,0.14,0,56,1
route_n12,stop_11,4,20.6,17.1,0,1,0.19,0,88,2
route_n7,stop_08,0,16.1,0.7,0,1,0.22,2,67,2
route_n9,stop_09,0,13.2,8.3,1,2,0.07,0,32,0
route_n7,stop_03,2,27.3,13.9,1,2,0.06,0,59,1
route_n12,stop_07,1,17.9,16.5,1,2,0.09,0,62,1
route_n1,stop_09,1,15.1,4.6,1,2,0.07,1,55,1
route_n12,stop_04,2,16.0,7.1,2,2,0.04,0,41,1
route_n4,stop_04,3,26.9,29.0,2,2,0.04,0,55,1
route_n4,stop_10,23,11.0,2.3,0,0,0.28,1,87,2
route_n9,stop_12,23,14.2,18.2,1,2,0.06,0,38,1
route_n12,stop_04,21,26.6,5.4,2,2,0.04,0,12,0
route_n9,stop_12,0,14.7,14.9,1,2,0.06,1,39,1
route_n9,stop_12,21,15.8,8.1,1,2,0.06,1,26,0
route_n4,stop_04,23,13.8,2.4,2,2,0.04,0,20,0
route_n9,stop_12,0,14.0,8.7,1,2,0.06,1,45,1
route_n4,stop_02,22,17.2,13.1,2,1,0.14,2,34,0
route_n1,stop_09,0,13.5,5.9,1,2,0.07,0,36,1
route_n12,stop_04,21,19.4,22.1,2,2,0.04,0,23,0
route_n9,stop_05,21,14.2,3.9,2,2,0.05,0,10,0
route_n4,stop_04,2,17.7,2.4,2,2,0.04,0,39,1
route_n7,stop_03,23,10.4,5.1,1,2,0.06,0,35,1
route_n9,stop_12,21,14.8,19.7,1,2,0.06,0,33,0
route_n1,stop_01,0,12.5,4.0,1,2,0.08,1,33,0
route_n1,stop_09,2,21.1,31.6,1,2,0.07,1,64,1
route_n7,stop_04,22,19.1,13.8,2,2,0.04,0,14,0
route_n4,stop_04,0,9.4,4.5,2,2,0.04,1,15,0
route_n9,stop_05,21,11.1,0.6,2,2,0.05,0,10,0
route_n4,stop_07,21,10.9,8.4,1,2,0.09,0,27,0
route_n1,stop_09,0,10.3,3.9,1,2,0.07,0,31,0
route_n4,stop_07,0,21.5,15.9,1,2,0.09,0,41,1
route_n1,stop_09,0,9.3,6.1,1,2,0.07,1,37,1
route_n4,stop_02,1,15.9,10.4,2,1,0.14,2,66,2
route_n7,stop_04,5,26.3,9.8,2,2,0.04,0,14,0
route_n12,stop_07,0,23.4,5.0,1,2,0.09,2,46,1
route_n7,stop_08,23,22.6,6.1,0,1,0.22,1,72,2
route_n7,stop_03,2,16.7,7.4,1,2,0.06,0,55,1
route_n12,stop_07,22,24.0,3.0,1,2,0.09,1,29,0
route_n12,stop_07,23,12.8,7.8,1,2,0.09,0,34,0
route_n9,stop_06,21,11.0,10.8,0,0,0.32,3,90,2
route_n9,stop_06,21,8.8,2.9,0,0,0.32,3,76,2
route_n7,stop_04,5,15.4,4.8,2,2,0.04,0,8,0
route_n7,stop_07,2,27.1,17.3,1,2,0.09,0,64,1
route_n1,stop_09,1,9.6,4.9,1,2,0.07,0,46,1
route_n1,stop_05,23,11.8,3.4,2,2,0.05,1,24,0
route_n9,stop_06,22,20.1,17.6,0,0,0.32,4,96,2
route_n9,stop_06,22,15.1,8.4,0,0,0.32,1,75,2
route_n1,stop_09,22,10.0,5.6,1,2,0.07,0,20,0
route_n1,stop_04,0,14.1,10.9,2,2,0.04,1,27,0
route_n4,stop_02,1,10.3,0.5,2,1,0.14,1,54,1
route_n4,stop_10,1,13.0,15.0,0,0,0.28,2,96,2
route_n1,stop_02,22,15.3,4.6,2,1,0.14,1,27,0
route_n4,stop_04,5,9.6,5.1,2,2,0.04,0,10,0
route_n12,stop_04,1,13.1,6.9,2,2,0.04,0,36,1
route_n9,stop_09,0,15.2,0.9,1,2,0.07,0,28,0
route_n9,stop_06,0,9.5,2.2,0,0,0.32,3,94,2
route_n1,stop_02,23,22.9,31.3,2,1,0.14,2,64,1
route_n7,stop_03,22,13.8,3.4,1,2,0.06,0,23,0
route_n1,stop_02,23,10.6,6.5,2,1,0.14,2,52,1
route_n4,stop_10,1,9.5,0.8,0,0,0.28,0,96,2
route_n7,stop_07,21,12.7,0.2,1,2,0.09,1,24,0
route_n4,stop_07,21,14.2,8.2,1,2,0.09,0,22,0
route_n12,stop_07,21,24.0,5.0,1,2,0.09,1,30,0
route_n4,stop_04,21,14.0,4.6,2,2,0.04,1,10,0
route_n12,stop_07,3,27.7,4.3,1,2,0.09,0,57,1
route_n12,stop_04,1,18.3,21.3,2,2,0.04,0,42,1
route_n4,stop_07,23,12.8,1.9,1,2,0.09,0,41,1
route_n4,stop_02,21,13.6,1.4,2,1,0.14,1,31,0
route_n12,stop_04,0,28.1,6.4,2,2,0.04,0,19,0
route_n7,stop_07,23,9.6,3.5,1,2,0.09,0,31,0
route_n12,stop_11,22,20.0,1.8,0,1,0.19,0,55,1
route_n9,stop_06,23,18.9,10.8,0,0,0.32,1,96,2
route_n12,stop_04,23,17.7,10.9,2,2,0.04,0,20,0
route_n7,stop_08,0,27.9,18.1,0,1,0.22,3,90,2
route_n9,stop_06,0,7.8,5.6,0,0,0.32,3,88,2
route_n1,stop_09,21,11.3,0.5,1,2,0.07,1,21,0
route_n1,stop_02,23,14.2,3.3,2,1,0.14,0,42,1
route_n7,stop_07,0,33.6,40.7,1,2,0.09,1,60,1
route_n12,stop_07,0,20.7,9.4,1,2,0.09,0,34,0
route_n4,stop_02,3,14.3,19.3,2,1,0.14,1,67,2
route_n7,stop_03,1,21.3,0.1,1,2,0.06,0,47,1
route_n9,stop_12,22,12.4,4.7,1,2,0.06,1,26,0
route_n9,stop_05,21,5.8,0.2,2,2,0.05,0,5,0
route_n1,stop_02,1,15.9,13.1,2,1,0.14,0,57,1
route_n9,stop_09,21,17.2,16.5,1,2,0.07,0,21,0
route_n7,stop_07,0,23.7,35.9,1,2,0.09,1,58,1
route_n9,stop_05,4,9.8,5.1,2,2,0.05,2,43,1
route_n7,stop_03,0,11.0,6.4,1,2,0.06,0,29,0
route_n4,stop_04,23,25.0,30.2,2,2,0.04,1,41,1
route_n1,stop_01,1,17.1,17.5,1,2,0.08,0,61,1
route_n9,stop_05,23,11.1,0.7,2,2,0.05,0,17,0
route_n7,stop_03,0,22.4,6.5,1,2,0.06,0,37,1
route_n12,stop_04,4,25.2,1.8,2,2,0.04,1,42,1
route_n1,stop_01,23,12.7,6.6,1,2,0.08,0,31,0
route_n4,stop_02,5,7.8,4.0,2,1,0.14,1,35,1
route_n7,stop_08,4,20.2,5.7,0,1,0.22,1,87,2
route_n4,stop_10,22,12.2,2.9,0,0,0.28,0,71,2
route_n4,stop_10,21,13.3,1.2,0,0,0.28,1,75,2
route_n9,stop_06,21,14.3,4.6,0,0,0.32,2,79,2
route_n9,stop_05,21,13.8,11.5,2,2,0.05,0,14,0
route_n7,stop_03,21,24.1,7.1,1,2,0.06,0,25,0
route_n12,stop_11,1,14.0,6.4,0,1,0.19,0,77,2
route_n7,stop_03,21,24.7,17.8,1,2,0.06,1,32,0
route_n12,stop_04,23,19.2,25.3,2,2,0.04,0,30,0
route_n4,stop_10,3,18.6,3.7,0,0,0.28,5,96,2
route_n1,stop_02,21,5.6,0.3,2,1,0.14,0,17,0
route_n7,stop_07,2,17.4,21.1,1,2,0.09,1,68,2
route_n7,stop_03,22,17.1,11.4,1,2,0.06,0,31,0
route_n12,stop_07,21,24.6,22.3,1,2,0.09,0,37,1
route_n4,stop_04,1,22.3,34.4,2,2,0.04,2,66,2
route_n4,stop_10,0,16.8,9.5,0,0,0.28,2,92,2
route_n12,stop_07,3,21.7,11.8,1,2,0.09,0,54,1
route_n4,stop_07,1,6.6,0.4,1,2,0.09,0,44,1
route_n9,stop_05,2,10.6,4.4,2,2,0.05,0,38,1
route_n1,stop_02,22,13.4,4.0,2,1,0.14,1,30,0
route_n7,stop_08,22,20.4,6.4,0,1,0.22,1,60,1
route_n1,stop_01,1,16.1,12.7,1,2,0.08,0,60,1
route_n7,stop_07,2,26.5,21.2,1,2,0.09,1,67,2
route_n9,stop_12,5,9.6,2.1,1,2,0.06,2,22,0
route_n4,stop_04,23,10.7,8.7,2,2,0.04,0,19,0
route_n12,stop_07,23,14.3,1.0,1,2,0.09,2,42,1
route_n9,stop_06,2,17.7,8.3,0,0,0.32,3,96,2
route_n1,stop_01,23,19.1,14.4,1,2,0.08,1,46,1
route_n12,stop_04,4,21.0,7.7,2,2,0.04,0,46,1
route_n4,stop_07,3,25.3,48.0,1,2,0.09,0,82,2
route_n9,stop_09,23,8.3,3.4,1,2,0.07,0,33,0
route_n12,stop_04,1,19.1,10.8,2,2,0.04,0,38,1
route_n9,stop_05,1,14.1,6.2,2,2,0.05,1,37,1
route_n9,stop_06,21,7.7,3.8,0,0,0.32,1,72,2
route_n4,stop_07,4,22.4,12.6,1,2,0.09,1,63,1
route_n7,stop_04,0,17.8,12.0,2,2,0.04,0,32,0
route_n12,stop_11,2,38.8,33.4,0,1,0.19,0,96,2
route_n4,stop_04,23,16.3,2.4,2,2,0.04,0,24,0
route_n9,stop_09,3,26.4,32.2,1,2,0.07,0,66,2
route_n4,stop_04,23,13.5,0.6,2,2,0.04,0,20,0
